phase,action,target,detail
1,update bahan baku,MM-RM-0027 Soy Sauce Kikkoman,satuan_besar L → BTL — biaya/satuan → 75
1,update bahan baku,MM-RM-0029 Soy Sauce Kikkoman Halal,satuan_besar L → BTL — biaya/satuan → 75
1,update bahan baku,MM-RM-0035 Yakinori Sheets,"satuan_besar LBR → PACK, konversi 1.0000 → 50 — biaya/satuan → 3.290"
1,update bahan baku,MM-RM-0036 Kikkoman Soy Sauce Halal,satuan_besar KG → BTL — biaya/satuan → 75
1,update bahan baku,MM-RM-0038 Katsuobushi,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 478,4"
1,update bahan baku,MM-RM-0039 Ichimi Togarashi,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 340,67"
1,update bahan baku,MM-RM-0042 Soy Kikkoman,satuan_besar KG → BTL — biaya/satuan → 75
1,update bahan baku,MM-RM-0043 Lada Putih Bubuk,"satuan_besar GR → PACK, konversi 1.0000 → 250 — biaya/satuan → 114,4"
1,update bahan baku,MM-RM-0046 Mentaiko Paste,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 520"
1,update bahan baku,MM-RM-0047 Madu,"satuan_besar KG → BTL, konversi 1000.0000 → 660 — biaya/satuan → 128,71"
1,update bahan baku,MM-RM-0048 Chili Sauce,"satuan_besar KG → GAL — biaya/satuan → 20,64"
1,update bahan baku,MM-RM-0049 Togarashi,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 351,67"
1,update bahan baku,MM-RM-0050 Shoyu Kikkoman,satuan_besar KG → BTL — biaya/satuan → 75
1,update bahan baku,MM-RM-0052 Fresh Milk,"satuan_besar ML → PCS, konversi 1.0000 → 950 — biaya/satuan → 38,42"
1,update bahan baku,MM-RM-0056 Minyak Sesame,"satuan_besar ML → BTL, konversi 1.0000 → 620 — biaya/satuan → 62,9"
1,update bahan baku,MM-RM-0058 Dry Shitake,"satuan_besar PCS → PACK, konversi 1.0000 → 1000 — biaya/satuan → 320"
1,update bahan baku,MM-RM-0061 Tepung Tapioka,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 16"
1,update bahan baku,MM-RM-0062 Tepung Roti,"satuan_besar GR → PACK, konversi 1.0000 → 200 — biaya/satuan → 117,25"
1,update bahan baku,MM-RM-0063 Aonori,"satuan_besar GR → PACK, konversi 1.0000 → 50 — biaya/satuan → 496"
1,update bahan baku,MM-RM-0065 Bawang Putih Goreng,"satuan_besar GR → PACK, konversi 1.0000 → 100 — biaya/satuan → 150"
1,update bahan baku,MM-RM-0066 Chili Flakes/ Dry Chili Chop,"satuan_besar GR → PACK, konversi 1.0000 → 50 — biaya/satuan → 256"
1,update bahan baku,MM-RM-0067 Shicimi Togarashi / Chili Powder,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 351,67"
1,update bahan baku,MM-RM-0068 Hondasi,"satuan_besar KG → PACK — biaya/satuan → 155,5"
1,update bahan baku,MM-RM-0070 Minyak Goreng,"satuan_besar L → GAL — biaya/satuan → 21,94"
1,update bahan baku,MM-RM-0071 Yuzu Syrup,"satuan_besar ML → BTL, konversi 1.0000 → 300 — biaya/satuan → 733,33"
1,update bahan baku,MM-RM-0072 Air Mineral,"satuan_besar L → GAL — biaya/satuan → 3,15"
1,update bahan baku,MM-RM-0077 Oyster Sauce,"satuan_besar GR → BTL, konversi 1.0000 → 770 — biaya/satuan → 64,94"
1,update bahan baku,MM-RM-0079 Tepung Roti (Ditempat Berbeda),"satuan_besar KG → PACK, konversi 1000.0000 → 200 — biaya/satuan → 117,25"
1,update bahan baku,MM-RM-0087 Minyak,"satuan_besar KG → GAL — biaya/satuan → 21,94"
1,update bahan baku,MM-RM-0089 Shayou Kikkoman,satuan_besar KG → BTL — biaya/satuan → 75
1,update bahan baku,MM-RM-0091 Truffle Oil,"satuan_besar GR → BTL, konversi 1.0000 → 250 — biaya/satuan → 971,8"
1,update bahan baku,MM-RM-0092 Nori Sheets,"satuan_besar LBR → PACK, konversi 1.0000 → 50 — biaya/satuan → 3.300"
1,update bahan baku,MM-RM-0093 Sichimi,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 351,67"
1,update bahan baku,MM-RM-0097 Bulldog Tonkotsu Sauce,"satuan_besar KG → PACK — biaya/satuan → 95,94"
1,update bahan baku,MM-RM-0098 Madu Nusantara,"satuan_besar KG → BTL — biaya/satuan → 84,95"
1,update bahan baku,MM-RM-0099 Bulldog Wonchester Sauce,"satuan_besar GR → PACK, konversi 1.0000 → 283.5 — biaya/satuan → 227,87"
1,update bahan baku,MM-RM-0103 Baking Powder,"satuan_besar GR → PACK, konversi 1.0000 → 450 — biaya/satuan → 111,11"
1,update bahan baku,MM-RM-0104 Sichimi Togarashi,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 351,67"
1,update bahan baku,MM-RM-0108 Minyak Sayur,"satuan_besar L → GAL — biaya/satuan → 21,94"
1,update bahan baku,MM-RM-0109 Sauce Tiram,"satuan_besar GR → BTL, konversi 1.0000 → 770 — biaya/satuan → 64,94"
1,update bahan baku,MM-RM-0110 Gelatine Powder,"satuan_besar GR → PACK, konversi 1.0000 → 250 — biaya/satuan → 211,6"
1,update bahan baku,MM-RM-0111 Whipping Cream,"satuan_besar KG → L — biaya/satuan → 75,5"
1,update bahan baku,MM-RM-0113 Dark Chocolate 54%,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 136"
1,update bahan baku,MM-RM-0114 Dark Chocolate 70%,"satuan_besar KG → PACK — biaya/satuan → 321,6"
1,update bahan baku,MM-RM-0115 Chocolate Powder,"satuan_besar GR → PACK, konversi 1.0000 → 165 — biaya/satuan → 283,64"
1,update bahan baku,MM-RM-0118 Hojicha Powder,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 999"
1,update bahan baku,MM-RM-0120 Vanilla Extra,"satuan_besar GR → BTL, konversi 1.0000 → 100 — biaya/satuan → 900"
1,update bahan baku,MM-RM-0122 RAP Instan,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 105"
1,update bahan baku,MM-RM-0123 Water,"satuan_besar KG → GAL — biaya/satuan → 1,06"
1,update bahan baku,MM-RM-0124 Icing Sugar,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 24"
1,update bahan baku,MM-RM-0126 Strawberry Puree,"satuan_besar KG → BTL — biaya/satuan → 208,9"
1,update bahan baku,MM-RM-0128 Ragi Instan,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 100"
1,update bahan baku,MM-RM-0131 Milk Powder,"satuan_besar GR → PACK, konversi 1.0000 → 800 — biaya/satuan → 137,5"
1,update bahan baku,MM-RM-0132 Improver,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 96"
1,update bahan baku,MM-RM-0133 Salted Butter,satuan_besar KG → PACK — biaya/satuan → 115
1,update bahan baku,MM-RM-0134 Tepung Ketan Putih,satuan_besar KG → PACK — biaya/satuan → 34
1,update bahan baku,MM-RM-0135 Olive Oil Classic,satuan_besar L → KG — biaya/satuan → 100
1,update bahan baku,MM-RM-0138 Tusuk Sate Yakitori 18Cm,"satuan_besar PCS → PACK, konversi 1.0000 → 100 — biaya/satuan → 217,92"
2,buat satuan,JAR,dipakai di Market List tapi belum ada di item.units
1,update bahan baku,MM-RM-0139 Onion Pickles,"satuan_besar GR → JAR, konversi 1.0000 → 250 — biaya/satuan → 91,76"
1,update bahan baku,MM-RM-0140 Sayap Ayam Utuh,"satuan_besar PCS → KG, konversi 1.0000 → 12 — biaya/satuan → 3.583,33"
1,update bahan baku,MM-RM-0142 Enoki Mushroom,"satuan_besar GR → PACK, konversi 1.0000 → 100 — biaya/satuan → 45"
1,update bahan baku,MM-RM-0143 Mochi Block,"satuan_besar PCS → PACK, konversi 1.0000 → 16 — biaya/satuan → 9.925"
1,update bahan baku,MM-RM-0144 Lime Sichimi,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 351,67"
1,update bahan baku,MM-RM-0145 Cheese,"satuan_besar KG → PACK — biaya/satuan → 91,05"
1,update bahan baku,MM-RM-0148 Wasabi Mayo,"satuan_besar GR → PACK, konversi 1.0000 → 90 — biaya/satuan → 627,78"
1,update bahan baku,MM-RM-0149 Jagung Manis,"satuan_besar PCS → KG, konversi 1.0000 → 3 — biaya/satuan → 4.333,33"
1,update bahan baku,MM-RM-0151 Udang Tempura,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 132"
1,update bahan baku,MM-RM-0153 Smocked Duck,"satuan_besar GR → PACK, konversi 1.0000 → 200 — biaya/satuan → 254,5"
1,update bahan baku,MM-RM-0154 Ramen,"satuan_besar GR → PCS, konversi 1.0000 → 1000, harga_beli 16.000 → 34.000 — biaya/satuan → 34"
1,update bahan baku,MM-RM-0155 Garlic Oil,"satuan_besar GR → BTL, konversi 1.0000 → 500 — biaya/satuan → 86"
1,update bahan baku,MM-RM-0156 Smoked Duck Slice,"satuan_besar GR → PACK, konversi 1.0000 → 200 — biaya/satuan → 254,5"
1,update bahan baku,MM-RM-0158 Telur Omega,"satuan_besar BUTIR → KG, konversi 1.0000 → 10 — biaya/satuan → 3.600"
1,update bahan baku,MM-RM-0161 Smoked Beef,"satuan_besar GR → PACK, konversi 1.0000 → 250 — biaya/satuan → 90"
1,update bahan baku,MM-RM-0162 Garlic Chip,"satuan_besar GR → PACK, konversi 1.0000 → 50 — biaya/satuan → 1.000"
1,update bahan baku,MM-RM-0163 Udon,"satuan_besar GR → PACK, konversi 1.0000 → 125 — biaya/satuan → 394,4"
1,update bahan baku,MM-RM-0165 Plum Syrup,"satuan_besar GR → BTL, konversi 1.0000 → 800 — biaya/satuan → 125"
1,update bahan baku,MM-RM-0166 Grenadine Syrup,satuan_besar L → BTL — biaya/satuan → 170
1,update bahan baku,MM-RM-0167 Soda,"satuan_besar GR → CAN, konversi 1.0000 → 250 — biaya/satuan → 12,33"
1,update bahan baku,MM-RM-0168 Orange Juice,"satuan_besar KG → BTL — biaya/satuan → 18,5"
1,update bahan baku,MM-RM-0169 Milac Cream,satuan_besar KG → L — biaya/satuan → 75
1,update bahan baku,MM-RM-0170 Peach Syrup,"satuan_besar GR → BTL, konversi 1.0000 → 760 — biaya/satuan → 131,58"
1,update bahan baku,MM-RM-0172 Tuna Saku,satuan_besar KG → PACK — biaya/satuan → 113
1,update bahan baku,MM-RM-0173 Tteokbokki Frozen,"satuan_besar GR → PACK, konversi 1.0000 → 300 — biaya/satuan → 80"
1,update bahan baku,MM-RM-0174 Beef Sausage,"satuan_besar PCS → PACK, konversi 1.0000 → 12.5 — biaya/satuan → 23.616"
1,update bahan baku,MM-RM-0175 Chicken Sausage,"satuan_besar PCS → PACK, konversi 1.0000 → 12.5 — biaya/satuan → 15.088"
1,update bahan baku,MM-RM-0176 Oolong Tea,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 366"
1,update bahan baku,MM-RM-0178 Crabstick,satuan_besar KG → PACK — biaya/satuan → 150
1,update bahan baku,MM-RM-0183 Cream Cheese,"satuan_besar GR → PACK, konversi 1.0000 → 800 — biaya/satuan → 433,75"
1,update bahan baku,MM-RM-0184 Unagi,"satuan_besar GR → PACK, konversi 1.0000 → 200 — biaya/satuan → 750"
1,update bahan baku,MM-RM-0185 Tobiko Orange,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 790"
1,update bahan baku,MM-RM-0188 Tobiko Hitam,"satuan_besar GR → PACK, konversi 1.0000 → 500 — biaya/satuan → 790"
2,buat bahan baku,MM-RM-0191 Tepung Terigu Protein Tinggi (Bakerstar Biru),"KG/GR konversi 1000, harga 13.500"
2,buat bahan baku,MM-RM-0192 Charcoal Powder,"PACK/GR konversi 50, harga 56.000"
2,buat bahan baku,MM-RM-0193 Oyster Black Angus,"KG/GR konversi 1000, harga 355.000"
2,buat bahan baku,MM-RM-0194 Chuka Idako,"GR/GR konversi 1, harga 0"
2,harga WIP,MM-WIP-0018 Furikake WIP,"522,32 → 571,67 per satuan"
2,harga WIP,MM-WIP-0031 Mentaiko Mayo WIP,"167,35 → 167,88 per satuan"
2,harga WIP,MM-WIP-0037 Nori Sauce WIP,"89,8 → 54,44 per satuan"
2,harga WIP,MM-WIP-0049 Spicy Mayo WIP,"93,3 → 93,88 per satuan"
2,buat WIP,MM-WIP-0077 Yuzu Dressing WIP,"batch 300 ML, biaya/satuan 247,07"
2,harga WIP,MM-WIP-0068 Gyutan Marinasi WIP,"159,27 → 144,79 per satuan"
2,buat WIP,MM-WIP-0078 Tapioka Charcoal WIP,"batch 515 GR, biaya/satuan 48,16"
2,buat WIP,MM-WIP-0079 Nasi Onigiri Aonori WIP,"batch 100 GR, biaya/satuan 37,71"
2,buat WIP,MM-WIP-0080 Nasi Onigiri Butter WIP,"batch 100 GR, biaya/satuan 102,56"
2,buat WIP,MM-WIP-0081 Nori Crispy WIP,"batch 10 Porsi, biaya/satuan 1.891,78"
2,buat WIP,MM-WIP-0082 Cakalang Spicy WIP,"batch 50 GR, biaya/satuan 313,83"
2,buat WIP,MM-WIP-0083 Salmon Mayo WIP,"batch 130 GR, biaya/satuan 254,13"
2,buat WIP,MM-WIP-0084 Spicy Tuna WIP,"batch 128 GR, biaya/satuan 100,72"
2,buat WIP,MM-WIP-0085 Beef Steak WIP,"batch 1760 GR, biaya/satuan 228,13"
2,buat WIP,MM-WIP-0086 Nasi Goreng WIP,"batch 180 GR, biaya/satuan 62,62"
2,buat WIP,MM-WIP-0087 Kinoko Butter WIP,"batch 510 GR, biaya/satuan 55,09"
2,buat WIP,MM-WIP-0088 WIP Beverage 1,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0089 WIP Beverage 2,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0090 WIP Beverage 3,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0091 WIP Beverage 4,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0092 WIP Beverage 5,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0093 WIP Beverage 6,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0094 WIP Beverage 7,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0095 WIP Beverage 8,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0096 WIP Beverage 9,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0097 WIP Beverage 10,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0098 WIP Beverage 11,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0099 WIP Beverage 12,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0100 WIP Beverage 13,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0101 WIP Beverage 14,"batch null , biaya/satuan 0"
2,buat WIP,MM-WIP-0102 WIP Beverage 15,"batch null , biaya/satuan 0"
2,buat bahan (dari resep),MM-RM-0195 Cold Drip Arabica,"tidak ada di Market List — satuan ML, biaya 0 diambil dari baris resep"
2,buat bahan (dari resep),MM-RM-0196 White Grappe Juice,"tidak ada di Market List — satuan ML, biaya 0 diambil dari baris resep"
2,buat bahan (dari resep),MM-RM-0197 Apple Juice,"tidak ada di Market List — satuan ML, biaya 0 diambil dari baris resep"
2,buat bahan (dari resep),MM-RM-0198 Choco Cookies Syrup,"tidak ada di Market List — satuan ML, biaya 0 diambil dari baris resep"
2,buat bahan (dari resep),MM-RM-0199 Ceremonial Matcha,"tidak ada di Market List — satuan GR, biaya 0 diambil dari baris resep"
2,buat bahan (dari resep),MM-RM-0200 Oat Milk,"tidak ada di Market List — satuan ML, biaya 0 diambil dari baris resep"
2,buat warehouse,STALL-17 Coffee Matcha Bar Beverage,stall belum ada di configuration.warehouses
2,buat produk,MM-STALL-03-085 Teppanyaki 1,STALL-03 · TEPPANYAKI-STALL · station kitchen · harga 0
2,buat produk,MM-STALL-03-086 Teppanyaki 2,STALL-03 · TEPPANYAKI-STALL · station kitchen · harga 0
2,buat produk,MM-STALL-03-087 Teppanyaki 3,STALL-03 · TEPPANYAKI-STALL · station kitchen · harga 0
2,buat produk,MM-STALL-07-088 Large Sausage Beef Hotdog,STALL-07 · BURGER-SANDWICHES-STALL · station kitchen · harga 75.000
2,buat produk,MM-STALL-07-089 Large Sausage Chicken Hotdog,STALL-07 · BURGER-SANDWICHES-STALL · station kitchen · harga 60.000
2,buat produk,MM-STALL-07-090 Ebi Furai Hotdog,STALL-07 · BURGER-SANDWICHES-STALL · station kitchen · harga 0
2,buat produk,MM-STALL-12-091 Beef Okayu,STALL-12 · JAPANESE-PORIDGE-STALL · station kitchen · harga 40.000
2,buat produk,MM-STALL-14-092 Onigiri Spicy Tuna (Butter - Nori Sheet),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 40.000
2,buat produk,MM-STALL-14-093 Onigiri Cakalang (Butter - Nori Sheet),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 40.000
2,buat produk,MM-STALL-14-094 Onigiri Salmon Mayo (Butter - Nori Sheet),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 40.000
2,buat produk,MM-STALL-14-095 Onigiri Yakiniku (Butter - Nori Sheet),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 35.000
2,buat produk,MM-STALL-14-096 Onigiri Spicy Tuna (Aonori - Nori Sheet),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 35.000
2,buat produk,MM-STALL-14-097 Onigiri Cakalang (Aonori - Nori Sheet),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 35.000
2,buat produk,MM-STALL-14-098 Onigiri Salmon Mayo (Aonori - Nori Sheet),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 35.000
2,buat produk,MM-STALL-14-099 Onigiri Yakiniku (Aonori - Nori Sheet),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 30.000
2,buat produk,MM-STALL-14-100 Onigiri Spicy Tuna (Butter - Nori Crispy),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 40.000
2,buat produk,MM-STALL-14-101 Onigiri Cakalang (Butter - Nori Crispy),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 40.000
2,buat produk,MM-STALL-14-102 Onigiri Salmon Mayo (Butter - Nori Crispy),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 40.000
2,buat produk,MM-STALL-14-103 Onigiri Yakiniku (Butter - Nori Crispy),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 35.000
2,buat produk,MM-STALL-14-104 Onigiri Spicy Tuna (Aonori - Nori Crispy),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 35.000
2,buat produk,MM-STALL-14-105 Onigiri Cakalang (Aonori - Nori Crispy),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 35.000
2,buat produk,MM-STALL-14-106 Onigiri Salmon Mayo (Aonori - Nori Crispy),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 35.000
2,buat produk,MM-STALL-14-107 Onigiri Yakiniku (Aonori - Nori Crispy),STALL-14 · ONIGIRI-CORNER-STALL · station kitchen · harga 30.000
2,buat kategori produk,COFFEE-MATCHA-BAR-STALL,belum ada di item.product_categories
2,buat produk,MM-STALL-17-108 MATCHA COOKIES,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-109 MATCHA LATTE,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-110 CMBB 3,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-111 CMBB 4,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-112 CMBB 5,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-113 CMBB 6,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-114 CMBB 7,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-115 CMBB 8,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-116 CMBB 9,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-117 CMBB 10,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-118 CMBB 11,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-119 CMBB 12,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-120 CMBB 13,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-121 CMBB 14,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-122 CMBB 15,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-123 CMBB 16,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-124 CMBB 17,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-125 CMBB 18,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-126 CMBB 19,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
2,buat produk,MM-STALL-17-127 CMBB 20,STALL-17 · COFFEE-MATCHA-BAR-STALL · station bar · harga 0
3,resep WIP,MM-WIP-0001 Adonan Gyoza WIP,10 → 10 komponen
3,resep WIP,MM-WIP-0002 Adonan Okonomiyaki WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0003 Adonan Takoyaki WIP,9 → 9 komponen
3,resep WIP,MM-WIP-0004 Adonan Tamagoyaki WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0062 Brioche Burger Bun WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0005 Cheese Sauce WIP,6 → 6 komponen
3,resep WIP,MM-WIP-0006 Chili Oil WIP,12 → 12 komponen
3,resep WIP,MM-WIP-0007 Chocolate Base WIP,1 → 7 komponen
3,resep WIP,MM-WIP-0008 Chocolate Filling WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0009 Chocolate Sauce WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0010 Cucumber Pickles WIP,4 → 7 komponen
3,resep WIP,MM-WIP-0011 Dashi Udon WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0012 Diplomat Filling WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0013 Donat / Bomboloni WIP,12 → 12 komponen
3,resep WIP,MM-WIP-0014 Dry Flour Dry Mix WIP,10 → 10 komponen
3,resep WIP,MM-WIP-0015 Ebi Furai/Katsu WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0016 Ebi Shinjo WIP,12 → 12 komponen
3,resep WIP,MM-WIP-0017 Egg Tartar WIP,2 → 7 komponen
3,resep WIP,MM-WIP-0018 Furikake WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0019 Gyoza Tuile WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0020 Hojicha Base WIP,1 → 7 komponen
3,resep WIP,MM-WIP-0021 Hojicha Filling WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0022 Hojicha Sauce WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0023 Kimchi Based WIP,0 → 14 komponen
3,resep WIP,MM-WIP-0024 Kol Kimchi WIP,1 → 2 komponen
3,resep WIP,MM-WIP-0025 Marinasi Beef (Noodles) WIP,6 → 6 komponen
3,resep WIP,MM-WIP-0026 Marinated Cumi WIP,6 → 6 komponen
3,resep WIP,MM-WIP-0027 Matcha Base WIP,1 → 7 komponen
3,resep WIP,MM-WIP-0028 Matcha Filling WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0029 Matcha Sauce WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0030 Mazesoba Sauce WIP,9 → 9 komponen
3,resep WIP,MM-WIP-0031 Mentaiko Mayo WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0032 Minced Beef WIP,15 → 15 komponen
3,resep WIP,MM-WIP-0033 Miso Soup WIP,4 → 3 komponen
3,resep WIP,MM-WIP-0034 Mochi Plain WIP,6 → 6 komponen
3,resep WIP,MM-WIP-0035 Namban Sauce WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0036 Nasi Sushi WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0037 Nori Sauce WIP,2 → 5 komponen
3,resep WIP,MM-WIP-0038 Okayu WIP,0 → 7 komponen
3,resep WIP,MM-WIP-0039 Okonomiyaki Sauce WIP,6 → 6 komponen
